Tomb No.,Alternate No.,Location,Collection Date,Elevation (MSL),Occupant,Translit. Occupant,Nickname,Translit. Nickname,Occupant Status,Period,Dynasty,Reigning King,Date Begin,Date End,Title1,Title2,Title3,Spouse,Translit. Spouse,Father,Translit. Father,Mother,Translit. Mother,Usurper,Translit. Usurper,Photo Link,Web Link,Notes,Bibliography,ppnsl,x,y
C.002,k020,SAQ Upper Enclosure,11/12/2005,148.093,Amenemhat,jmn-m-HAt,,,Usurper,New Kingdom,18,Ahmose to Amenhotep I,1570,1524,Noble at the head of the people,,,,,,,,,,,,,"Exact location unknown. PM 1/1, 457, suggests that the tomb is located near top of hill, probably just north of tt061 (Useramun), similarly, Kampp, TN 2, 618 + plan 3, gid ref. F3. According to Kampp, 632-634, the tomb was first built in the Middle Kingdom as a typical saff-tomb, but in Dyn. 18, Amenemhat usurped it and converted it to a New Kingdom T-form tomb.","Dziobek, E. MDAIK 45 (1989): 119, fig. 5; 
Kampp, TN 1, 22, 40, 139; 
Kampp, TN 2, 618, 632-634; 
PM 1/1, 457.",,460715.0999999996,2846144.511
C.004,Champollion 31,SAQ Plain,11/5/2005,104.393,Merymaat,mry-mAat,,,Primary Owner,New Kingdom,18,Amenhotep III,1386,1349,wab-priest of Maat,,,Amenhotep,jmn-Htp,Sennetjer,sn-nTr,Henutshe,Hnwt-S,,,,,"While PM 1/1, 457, notes that the tomb is probably located near tt069, Kampp, TN 2, 618 + plan 3, grid ref. H4, has precisely located it east of tt067 (Hapuseneb) and south of k468. In 2006 it was erroneously ID'd on door as (tt)""227"".","Kampp, TN 1, 24; 
Kampp, TN 2, 618-619; 
Manniche, L. Lost Tombs: A Study of Certain Eighteenth Dynasty Monuments in the Theban Necropolis. London: KPI, 1988, ch. 9, 100-124; 
PM 1/1, 457.",,460805.58299999963,2846126.4360000007
C.012,k295,SAQ Plain,12/17/2005,78.782,Mehu,mHw,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Overseer of the gate,,,,,,,,,,,,,"Exact location unknown. According to PM 1/1, 460, tomb is located east of tt57 (Khaemhat).","Kampp, TN 1, 40; 
Kampp, TN 2, 620, 756; 
PM 1/1, 460.",,460758.3119999999,2845887.3770000003
k001,,SAQ Upper Enclosure,11/8/2005,118.082,Unknown,,,,Primary Owner,New Kingdom,18,Tuthmosis IV (?),1419,1386,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 623-624.",,460735.71999999974,2846245.5830000006
k002,,SAQ Upper Enclosure,11/6/2005,119.942,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,located beside k464; GPS location collected .75 m. in front of doorway.,"Kampp, TN 2, 623-624.",,460788.81900000013,2846221.4849999994
k003,,SAQ Upper Enclosure,11/6/2005,117.797,Unknown,,,,Primary Owner,New Kingdom,18 to 20,Ahmose I to Ramesses XI,1570,1070,Unknown,,,,,,,,,,,,,located north of k464,"Kampp, TN 2, 624-625.",,460790.22200000007,2846239.33
k004,,SAQ Upper Enclosure,11/6/2005,109.065,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 625.",,460808.8669999996,2846205.073000001
k005,,SAQ Upper Enclosure,11/6/2005,99.245,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 625-626.",,460827.6349999998,2846202.7809999995
k006,,SAQ Upper Enclosure,11/8/2005,111.261,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 626.",,460788.7290000003,2846195.380999999
k007,,SAQ Upper Enclosure,11/6/2005,122.207,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 626-628.",,460762.7759999996,2846190.539000001
k008,,SAQ Upper Enclosure,11/6/2005,121.937,Unknown,,,,Primary Owner,New Kingdom,18,Amenhotep II to Tuthmosis IV (?),1453,1386,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 627-628.",,460752.58800000045,2846190.7349999994
k011,,SAQ Upper Enclosure,11/11/2005,163.573,Unknown,,,,Primary Owner,New Kingdom,18,Tuthmosis III to Horemheb,1504,1293,Unknown,,,,,,,,,,,,,"located in tt075 court, north","Kampp, TN 2, 629.",,460636.3289999999,2846159.3680000007
k012,,SAQ Upper Enclosure,11/11/2005,159.432,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,"originally collected as ""k460""; corrected 11/14; located above tt229","Kampp, TN 2, 630.",,460656.9139999999,2846146.0250000004
k013,,SAQ Upper Enclosure,11/16/2005,142.537,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,"originally collected as ""k491"" at a secondary entrance; hidden low beside ""tt229""; re-collected at original blocked entrance","Kampp, TN 2, 630.",,460680.3339999998,2846147.6119999997
k014,,SAQ Upper Enclosure,11/11/2005,144.395,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,"Middle Kingdom date is according to Kampp, TN 2, 630, 631. Tomb is cut into the northern slope of a high ridge located south of tt071 (Senenmut) and east of tt072 (Ra). The courtyard and entrance face northeast. The entire eastern half of this hill/ridge has been quarried away, leaving a large artificial flat plateau as the tomb's courtyard, sloping downward to the northeast. Question: was the tomb built first before the hill was quarried (in which case a substantial section of the corridor was removed), or was the tomb built secondly, after the hill was quarried? The large-scale excavation of this hillside leaves a clear unobstructed line of sight from the entrance of tt072 (located behind) to the mortuary temple of Tuthmosis III on the plain below. The owner of tt072 (Ra) was high priest of that temple, and if he himself did not cut away the obstructing hillside, then he located his tomb to take advantage of this view, as well as to be near the tomb of his own father, tt121 (Ahmose).","Kampp, TN 2, 630, 631; 
Mond, R. ASAE 6 (1905): 73-74.",,460705.59499999974,2846146.7060000002
k015,,SAQ Upper Enclosure,11/11/2005,142.645,Unknown,,,,Primary Owner,New Kingdom,18,Tuthmosis IV to Amenhotep III (?),1419,1349,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 630-632",,460711.26999999955,2846159.215
k016,,SAQ Plain,11/9/2005,138.799,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,In 2006 tomb located under modern structure or enclosure; situated beside/north tt062; buried,"Kampp, TN 2, 632.",,460746.46800000034,2846178.3310000002
k017,,SAQ Upper Enclosure,11/9/2005,140.768,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,"Tomb is partially buried; according to Kampp, TN 2, 632, only the first gallery is visible above the ground.; located beside/north tt062; buried","Kampp, TN 2, 632.",,460743.19400000013,2846164.25
k018,,SAQ Upper Enclosure,11/16/2005,133.673,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,,,Tomb and courtyard are buried.,"Kampp, TN 2, 632.",,460736.9610000001,2846151.988
k019,,SAQ Upper Enclosure,11/9/2005,143.131,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,located beside/south tt063,"Kampp, TN 2, 632-633.",,460731.1610000003,2846159.4240000006
k022,,SAQ Upper Enclosure,11/9/2005,133.973,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,located opp. tt071; k022b = p003; located beside/south k022; unnumbered by Kampp,"Kampp, TN 2, 634.",,460718.2110000001,2846180.1999999993
k023,,Asasif (west),2/20/2006,86.697,Unknown,,,,Primary Owner,New Kingdom,19,Ramesses I to Tawosret,1293,1185,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k023.htm,,,"Kampp, TN 2, 634-636.",,461005.11099999957,2846287.4049999993
k024,,SAQ Upper Enclosure,11/16/2005,113.531,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,Unknown,,,,"Tomb adjoins courtyard and façade of tt066 (Hapu). According to Kampp, TN 2, 636, tomb was later rebuilt and reused in Dyn. 18. Thereafter, Coptic installations were built in the courtyard, and the tomb was used along with adjoining tt065 (Nebamun/Imiseba), tt066, and tt067 (Hapuseneb) for the monastery of Cyriacus.","Kampp, TN 2, 636-637.",,460753.71300000045,2846150.3770000003
k024,,SAQ Upper Enclosure,11/16/2005,113.531,Unknown,,,,Usurper,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,"According to Kampp, TN 2, 636, the tomb was originally built in the Middle Kingdom; thereafter in Dyn. 18, it was rebuilt and reused.","Kampp, TN 2, 636-637.",,460753.71300000045,2846150.3770000003
k025,,SAQ Upper Enclosure,11/12/2005,139.615,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 636.",,460723.61000000034,2846138.226
k026,,SAQ Upper Enclosure,11/13/2005,139.314,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,located north of tt059,"Kampp, TN 2, 636.",,460677.4740000004,2846109.1329999994
k027,,SAQ Upper Enclosure,11/13/2005,136.69,Unknown,,,,Primary Owner,Middle Kingdom,11 to 13,,2134,1668,Unknown,,,,,,,,,,,,,located beside k074 north,"Kampp, TN 2, 637-638.",,460667.25,2846099.3900000006
k028,,Asasif (west),2/21/2006,89.213,Amenhotep,jmn-htp,Huy,hwj,Primary Owner,New Kingdom,18,Amenhotep III to Amenhotep IV (Akhenaten),1386,1347,vizier,overseer of the city,,,,,,,,,,https://gis.cofc.edu/olgistn/k028.htm,https://www.visiramenhotep.es/,"k028 surveyed 2/20/06; tomb is located in a sunken court situated  at the eastern end of courtyard of tt366 above (MK saff-tomb of Djar); k028 is situated in the center of the west wall facing east. A ceremonial causeway or dromos leads up to the court from the east along the central axis. The interior hypostyle hall of k028 extends to the west, well under tt366 courtyard above.  In 2006, the court of k028 was nearly completely filled with with radim and spoil from previous excavations; only some mud brick upper walls were exposed. The courtyard also contains the tombs: p155 in northwest corner, p154 east of p155, k086 in the west wall south of k028, and k096 in south wall. Along the south side of causeway near courtyard entrance are: tt244, k268, k272.  GPS location of k028 entry was collected from top of court directly above entrance. Subsequently, from 2009 to 2017, the court and tomb were entirely cleared by a Spanish expedition from Madrid (F. Martin Valentin and T. Bedman), in a stunning and remarkably successful excavation that dramatically reveals the floor and tombs. According to F. Martin Valentin and T. Bedman (2014), k028 dates to the co-regency of Amenhotep III and Amenhotep IV, and it apparently proves the coregency lasted at least 8 years; texts of the two kings inscribed on columns in the hypostyle hall appear to date to Amenhotep III's first Sed Festival. Then the hypostyle hall decoration was attacked and names mutilated and destroyed shortly after Year  35, Amenhotep III (similar to tt192). Subsequently, the tomb was usurped for burials under Osorkon I (Dyn. 22), while the hypostyle hall was used in the Third Intermediate Period for embalming priests from Karnak who were buried nearby. Note: the tombs in this section are located here beside the causeway of Thutmose III and the processional route of the Feast of the Valley. For this reason, the dromos of k028 points east toward the causeway and (coincidentally?) the bark station of Thutmose III above tt386.  In this manner, the ceremonial dromos would face the procession of Amun's bark.","Eigner, D. MDAIK 39 (1983): 39-50; 
Gordon, A. MDAIK 39 (1983): 71-80; 
Martin Valentin, F. and T. Bedman. KMT: A Modern Journal of Ancient Egypt 25/2 (Summer 2014): 17-27; 
Martin Valentin, F. and T. Bedman. The Tomb of the Vizier Amenhotep-Huy in Asasif (AT 28): Preliminary Results of the Excavation Seasons 2009-2012."" In Archaeological Research in the Valley of the Kings and Ancient Thebes: Papers Presented in Honor of Richard H. Wilkinson, ed. P. P. Creasman, 181-199. Wilkinson Egyptology Series 1. Tucson: University of Arizona Egyptian Expedition, 2013.
Martin Valentin, F. and T. Bedman. KMT: A Modern Journal of Ancient Egypt 22/2 (Summer 2011): 42-53; 
Kampp, TN 2, 637-639.",,460991.26499999966,2846321.9560000002
k029,,SAQ Upper Enclosure,11/12/2005,116.998,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,buried by wall,"Kampp, TN 2, 638.",,460745.4110000003,2846116.988
k030,,SAQ Upper Enclosure,11/6/2005,117.012,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose to Amenhotep II,1570,1419,Unknown,,,,,,,,,,,,,located south of tt068,"Kampp, TN 2, 639-640.",,460753.04700000025,2846101.198999999
k031,,SAQ Upper Enclosure,11/20/2005,106.184,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 640.",,460751.01999999955,2846100.432
k032,,el-Khokha,1/29/2006,98.252,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,"Surveyed 1/31/06. Rear of k032, k033, k034 were covered by a single house, along with p035, p036.","Kampp, TN 2, 640.",,460953.06400000025,2846081.625
k033,,el-Khokha,1/29/2006,98.065,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,"Surveyed 1/31/06. Rear of k033, k032, k034 were covered by a single house, along with p035, p036.","Kampp, TN 2, 640.",,460947.8420000002,2846074.4959999993
k034,,el-Khokha,1/29/2006,97.995,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,"Surveyed 1/31/06. Rear of k034, k032, k033 were covered by a single house, along with p035, p036.","Kampp, TN 2, 640.",,460942.0310000004,2846071.1669999994
k035,,el-Khokha,1/29/2006,97.721,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 640.",,460934.72699999996,2846069.534
k036,,el-Khokha,1/28/2006,93.037,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose to Amenhotep II,1570,1419,Unknown,,,,,,,,,,,,,k036 is completely buried; location approximated based on alignment with wall of tt246 in Kampp map.,"Kampp, TN 2, 641.",,461052.3169999998,2846091.476
k037,,el-Khokha,2/6/2006,107.134,Unknown,,,,Primary Owner,New Kingdom,18,Hatshepsut to Tuthmosis III,1504,1450,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 641-642.",,461033.1950000003,2846204.976
k038,,el-Khokha,2/12/2006,101.027,Unknown,,,,Primary Owner,New Kingdom,18,Amenhotep II to Tuthmosis IV (?),1453,1386,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k038.htm,,,"Kampp, TN 2, 642-643.",,461039.28699999955,2846187.4120000005
k039,,el-Khokha,2/12/2006,107.035,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k039.htm,,,"Kampp, TN 2, 643.",,461046.21499999985,2846206.533
k040,,el-Khokha,2/13/2006,106.081,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k040.htm,,Surveyed 2/14/06. Transverse corridor west wall collapsed; rock caved in.,"Kampp, TN 2, 643.",,461086.2949999999,2846190.1720000003
k041,,el-Khokha,2/14/2006,105.16,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k041.htm,,"K041 is located near top of el-Khokha-hill on SE promontory below tt238 and facing west. Façade around door is broken through, revealing transverse corridor inside.  Transverse corridor SE wall is completely broken through like a doorway to eastern slope of hill.  Axial corridor ceiling breaks into court and transverse corridor-west of tt204 above. Appears unfinished; no decoration.","Kampp, TN 2, 643.",,461136.3959999997,2846147.8890000004
k042,,el-Khokha,2/13/2006,105.316,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose I to Horemheb,1570,1293,Unknown,,,,,,,,,,,,,,"Kampp, TN 2, 643-644.",,461151.4979999997,2846146.2799999993
k043,,el-Khokha,3/14/2006,99.387,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,,,Excavated by the Hungarian expedition (Zoltan Fabian). Tomb was later used for Ptolemaic burials (so Mekis 2010).,"Kampp, TN 2, 644-645; 
Mekis, T. JSSEA 37 (2010): 9-37.",,461166.051,2846145.579
k044,,el-Khokha,2/11/2006,103.537,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k044.htm,,Tomb is partially buried today.,"Kampp, TN 2, 644.",,461132.5700000003,2846187.135
k045,,el-Khokha,2/11/2006,105.332,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k045.htm,,"Surveyed 2/12/06. Tomb entrance is blocked today; collapsed and unroofed at rear, decorated chambers are filled with debris and soil to half their height.","Kampp, TN 2, 644-651.",,461136.92399999965,2846175.4580000006
k046,,Asasif (east),3/5/2006,89.228,Unknown,,,,,Undefined,Unknown,,,,,,,,,,,,,,,https://gis.cofc.edu/olgistn/k046.htm,,,"Kampp, TN 2, 651.",,461143.97300000023,2846299.524
k047,,Asasif,2/15/2006,103.752,Unknown,,,,Primary Owner,New Kingdom,Unknown,,,,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k047.htm,,,"Kampp, TN 2, 651.",,461019.3509999998,2846219.028999999
k048,,Asasif (Nimsawy),3/25/2006,85.785,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,,,k048 shares same façade with tt039,"Kampp, TN 2, 651, 653.",,461217.46300000045,2846238.1679999996
k049,,Asasif (east),2/22/2006,88.278,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k49.htm,,,"Kampp, TN 2, 652.",,461190.1469999999,2846256.749
k050,,Asasif (east),2/22/2006,88.401,Unknown,,,,Primary Owner,New Kingdom,19 to 26,,1293,525,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k50.htm,,,"Kampp, TN 2, 754.",,461191.47200000007,2846255.1559999995
k051,,el-Khokha,1/16/2006,90.76,Unknown,,,,Primary Owner,New Kingdom,18,Ahmose to Tuthmosis III,1570,1450,Unknown,,,,,,,,,,,,,courtyard is filled with rubbish and garbage to high level (in 2006),"Kampp, TN 2, 654.",,461064.17399999965,2846079.875
k052,,el-Khokha,2/11/2006,107.061,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k52.htm,,Entrance to k052 is mostly buried; original top of entryway and the rough rocky roof are apparent.,"Kampp, TN 2, 654-655.",,461151.94400000013,2846177.761
k053,,el-Khokha,2/11/2006,107.516,Unknown,,,,Primary Owner,New Kingdom,18 to 20,,1570,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k53.htm,,Tomb shares a front courtyard with k054 (owner unknown).,"Kampp, TN 2, 654-655.",,461147.5820000004,2846186.630999999
k054,,el-Khokha,2/11/2006,108.586,Unknown,,,,Primary Owner,New Kingdom,19 to 20,Ramesses I to Ramesses XI,1293,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k54.htm,,Tomb shares a front courtyard with k053 (owner unknown).,"Kampp, TN 2, 654-656.",,461150.84300000034,2846189.181
k055,,el-Khokha,2/11/2006,108.671,Unknown,,,,Primary Owner,New Kingdom,20,Setnakht to Ramesses XI,1151,1070,Unknown,,,,,,,,,,,https://gis.cofc.edu/olgistn/k55.htm,,A shaft at top of hill breaks into the corridor of k055 along NW side.,"Kampp, TN 2, 656-657.",,461147.6969999997,2846196.7799999993
k057,,el-Khokha,2/5/2006,102.789,Unknown,,,,Primary Owner,New Kingdom,18,Hatshepsut to Tuthmosis III,1504,1450,Unknown,,,,,,,,,,,,,"The top of el-Khokha behind k057 and tt392 (k056)  has cracked open and collapsed, leaving wide open but very broken architecture that was once part of tombs here.  Ceiling is broken open to sky where top of hill comes down. Floor is broken revealing a network of subterranean passages. Some truly tremendous seismic activity destroyed much of el-Khokha, more so than other areas of necropolis.  Fissures and cracks here are very wide open and run mostly in southwesterly direction.","Kampp, TN 2, 659.",,461184.4000000004,2846202.8049999997
k058,,Asasif (Nimsawy),3/15/2006,103.805,Unknown,,,,Primary Owner,New Kingdom,19,Ramesses I to Tawosret,1293,1185,Unknown,,,,,,,,,Unknown,,https://gis.cofc.edu/olgistn/k058.htm,,"Surveyed 3/15/06 to 3/16/06; k058 is a large early Ramesside tomb located on the northeast face of el-Khokha hill. It faces north, overlooking the tt386 and tt414 groups of tombs in Asasif. Until recently, the front courtyard of k058 was sandwiched betweeen two large houses, since removed. k058 is T-form, containing a transverse columned hall with a single row of columns fronting a vaulted axial corridor for  the cult chamber. In the rear wall (south) is a large shallow vaulted niche inset with a smaller vaulted niche (not appear wide enough for a statue). At the rear-right (west) of this chamber, a sloping passage leads down to a vertical burial shaft, now filled, that once was blocked up with plastered mudbrick. The evidence of any burials here includes: small shreds of mummy cloth, pottery fragments, and perhaps bits of bone. While the columned hall was left roughly hewn and unfinished, the axial corridor/cult chamber was completed. The walls were plastered and painted (now mostly blackened), except for the south wall and niche, indicating a large round-topped stela once stood in this niche. Later burials were included in k050 by an additional passage and burial chamber subsequently cut into the west wall of the transverse hall. On east side of transverse hall, k058 connects to tomb p140 to the east (not shown on Kampp's Plan 5), forming an immense hypogeum of winding corridors, intersecting chambers, and burial pits. Until recently, a large house (or houses) fronted p140, p141 and p143, and the tomb complex were used by the inhabitants for storage, waste disposal and as stables. The passages are also heavily littered with paper refuse and trash. The old police station lied immediately to the west along the hill (since removed around 2007). Some of the refuse is bureaucratic in nature (discarded pages from ledgers, file notes, clips, etc.), probably deriving from the station. All the entries into the complex, including k058, were bricked up after the demolition of the houses, and in 2006, it was possible to enter  the complex only by ladder through a hole in the roof into k058's transverse hall. This complex is stunning in its size and scope.","Kampp, TN 2, 660-661.",,461189.46499999985,2846225.142999999
