tomb_id,url,Owner,Owner Type,Decoration,Categories of Objects Recovered,Location (Bank Side),Elevation_main (m),Northing (m),Easting (m),JOG Map Ref,Modern governorate,Ancient nome,Max. Height (m),Min. Width (m),Max. Width (m),Length (m),Area (m²),Volume (m³),Entrance Location,Entrance Type,Interior Layout,Axis Type,Dynasty (Built),Notes
KV-01,https://thebanmappingproject.com/tombs/kv-01-rameses-vii,Rameses VII,King,"Painting, Sunk relief","Architectural elements, Domestic equipment, Furniture, Tomb equipment, Vegetal remains, Vessel stands, Written documents",West Bank,171.219,99803.743,94006.256,NG 36-10,Qena (Qina),4th Upper Egypt,4.25,2.74,5.18,44.31,163.57,463.02,End of spur,Ramp,Corridor and chambers,Straight,20,
KV-02,https://thebanmappingproject.com/tombs/kv-02-rameses-iv,Rameses IV,King,"Painting, Sunk relief","Architectural elements, Furniture, Human mummies, Tomb equipment, Vegetal remains, Written documents",West Bank,167.807,99723.763,94074.579,NG 36-10,Qena (Qina),4th Upper Egypt,5.22,1.24,8.33,88.67,304.89,1105.25,End of spur,Ramp,Corridors and chambers,Straight,20,
KV-03,https://thebanmappingproject.com/tombs/kv-03-son-rameses-iii,Son of Rameses III,Prince,Sunk relief,"Architectural elements, Vessels",West Bank,167.246,99695.005,94136.424,NG 36-10,Qena (Qina),4th Upper Egypt,3.13,1.04,7.71,53.48,193.37,464.99,Base of sloping hill,Ramp,Corridor and chambers,Straight,20,
KV-04,https://thebanmappingproject.com/tombs/kv-04-rameses-xi,Rameses XI,King,Painting,"Architectural elements, Sculpture, Tomb equipment, Vessels, Written documents",West Bank,168.921,99677.341,94170.809,NG 36-10,Qena (Qina),4th Upper Egypt,5.01,2.75,11.3,104.1,503.5,1682.19,Base of sloping hill,Ramp,Corridors and chambers,Straight,20,
KV-05,https://thebanmappingproject.com/tombs/kv-05-sons-rameses-ii,Sons of Rameses II,Prince,"Painting, Raised relief","Human remains, Jewelry, Mammal remains, Religious objects, Tomb equipment, Transport, Vessels, Written documents",West Bank,169.87,99637.895,94095.771,NG 36-10,Qena (Qina),4th Upper Egypt,2.86,0.61,15.44,443.21,1266.48,2154.82,Valley floor,Staircase,Corridors and chambers,Straight,19,
KV-06,https://thebanmappingproject.com/tombs/kv-06-rameses-ix,Rameses IX,King,"Painting, Sunk relief","Sculpture, Tomb equipment, Transport, Written documents",West Bank,171.481,99614.405,94075.487,NG 36-10,Qena (Qina),4th Upper Egypt,4.62,0.82,8.55,105.03,396.42,1076.36,Base of sloping hill,Ramp,Corridors and chambers,Straight,20,
KV-07,https://thebanmappingproject.com/tombs/kv-07-rameses-ii,Rameses II,King,"Painting, Raised relief, Sunk relief","Sculpture, Tomb equipment, Vessels",West Bank,169.75,99621.308,94063.747,NG 36-10,Qena (Qina),4th Upper Egypt,5.83,0.74,13.07,168.05,868.41,2286.44,Base of sloping hill,Ramp,Corridors and chambers,Bent,19,
KV-08,https://thebanmappingproject.com/tombs/kv-08-merenptah,Merenptah,King,"Painting, Raised relief, Sunk relief","Tomb equipment, Vessels, Writing equipment",West Bank,178.964,99599.361,94003.743,NG 36-10,Qena (Qina),4th Upper Egypt,6.47,0.76,14.87,164.87,772.55,2622.08,Hillside,Staircase,Corridors and chambers,Straight,19,
KV-09,https://thebanmappingproject.com/tombs/kv-09-rameses-v-and-rameses-vi,Rameses V and Rameses VI,King,"Painting, Sunk relief","Furniture, Numismatics, Tomb equipment, Vessels, Written documents",West Bank,174.306,99568.532,94062.336,NG 36-10,Qena (Qina),4th Upper Egypt,6.93,2.48,13.04,116.85,510.07,1572.26,Base of sloping hill,Ramp,Corridors and chambers,Straight,20,
KV-10,https://thebanmappingproject.com/tombs/kv-10-amenmeses,Amenmeses,King,"Painting, Raised relief, Sunk relief","Tomb equipment, Vessels",West Bank,174.445,99552.06,94071.652,NG 36-10,Qena (Qina),4th Upper Egypt,3.85,0.98,9.48,105.35,350.28,821.24,Base of sloping hill,Ramp,Corridors and chambers,Straight,19,
